,index,Title,Authors,Page numbers,DOI,Year of publication,Part of publication,category,Number of references,Oldest reference,Newest reference,Range of references
0,8,Consistent Segmentation of Longitudinal Brain MR Images with Spatio-Temporal Constrained Networks,"Jie Wei, Feng Shi, Zhiming Cui, Yongsheng Pan, Yong Xia, Dinggang Shen",89-98,/chapter/10.1007/978-3-030-87193-2_9,2021,1,category: classification,16,1999,2021,22
1,17,Improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects,"Chenghao Liu, Xiangzhu Zeng, Kongming Liang, Yizhou Yu, Chuyang Ye",186-195,/chapter/10.1007/978-3-030-87193-2_18,2021,1,category: classification,17,1986,2021,35
2,18,CarveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation,"Xinru Zhang, Chenghao Liu, Ni Ou, Xiangzhu Zeng, Xiaoliang Xiong, Yizhou Yu et al.",196-205,/chapter/10.1007/978-3-030-87193-2_19,2021,1,category: classification,16,2000,2021,21
3,25,Partially-Supervised Learning for Vessel Segmentation in Ocular Images,"Yanyu Xu, Xinxing Xu, Lei Jin, Shenghua Gao, Rick Siow Mong Goh, Daniel S. W. Ting et al.",271-281,/chapter/10.1007/978-3-030-87193-2_26,2021,1,category: classification,26,1989,2020,31
4,30,Multi-compound Transformer for Accurate Biomedical Image Segmentation,"Yuanfeng Ji, Ruimao Zhang, Huijie Wang, Zhen Li, Lingyun Wu, Shaoting Zhang et al.",326-336,/chapter/10.1007/978-3-030-87193-2_31,2021,1,category: classification,25,2012,2021,9
5,36,Comprehensive Importance-Based Selective Regularization for Continual Segmentation Across Multiple Sites,"Jingyang Zhang, Ran Gu, Guotai Wang, Lixu Gu",389-399,/chapter/10.1007/978-3-030-87193-2_37,2021,1,category: classification,25,1989,2021,32
6,44,Residual Feedback Network for Breast Lesion Segmentation in Ultrasound Image,"Ke Wang, Shujun Liang, Yu Zhang",471-481,/chapter/10.1007/978-3-030-87193-2_45,2021,1,category: classification,28,2007,2021,14
7,45,Learning to Address Intra-segment Misclassification in Retinal Imaging,"Yukun Zhou, Moucheng Xu, Yipeng Hu, Hongxiang Lin, Joseph Jacob, Pearse A. Keane et al.",482-492,/chapter/10.1007/978-3-030-87193-2_46,2021,1,category: classification,32,2001,2020,19
8,47,DC-Net: Dual Context Network for 2D Medical Image Segmentation,"Rongtao Xu, Changwei Wang, Shibiao Xu, Weiliang Meng, Xiaopeng Zhang",503-513,/chapter/10.1007/978-3-030-87193-2_48,2021,1,category: classification,20,1993,2020,27
9,55,Modality-Aware Mutual Learning for Multi-modal Medical Image Segmentation,"Yao Zhang, Jiawei Yang, Jiang Tian, Zhongchao Shi, Cheng Zhong, Yang Zhang et al.",589-599,/chapter/10.1007/978-3-030-87193-2_56,2021,1,category: classification,30,2010,2021,11
10,59,CCBANet: Cascading Context and Balancing Attention for Polyp Segmentation,"Tan-Cong Nguyen, Tien-Phat Nguyen, Gia-Han Diep, Anh-Huy Tran-Dinh, Tam V. Nguyen, Minh-Triet Tran",633-643,/chapter/10.1007/978-3-030-87193-2_60,2021,1,category: classification,17,2015,2021,6
11,61,TUN-Det: A Novel Network for Thyroid Ultrasound Nodule Detection,"Atefeh Shahroudnejad, Xuebin Qin, Sharanya Balachandran, Masood Dehghan, Dornoosh Zonoobi, Jacob Jaremko et al.",656-667,/chapter/10.1007/978-3-030-87193-2_62,2021,1,category: classification,39,2001,2021,20
12,63,On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,"Teodora Popordanoska, Jeroen Bertels, Dirk Vandermeulen, Frederik Maes, Matthew B. Blaschko",678-688,/chapter/10.1007/978-3-030-87193-2_64,2021,1,category: classification,28,1928,2021,93
13,69,SSLP: Spatial Guided Self-supervised Learning on Pathological Images,"Jiajun Li, Tiancheng Lin, Yi Xu",3-12,/chapter/10.1007/978-3-030-87196-3_1,2021,2,category: classification,33,2010,2020,10
14,72,Imbalance-Aware Self-supervised Learning for 3D Radiomic Representations,"Hongwei Li, Fei-Fei Xue, Krishna Chaitanya, Shengda Luo, Ivan Ezhov, Benedikt Wiestler et al.",36-46,/chapter/10.1007/978-3-030-87196-3_4,2021,2,category: classification,25,2006,2021,15
15,73,Self-supervised Visual Representation Learning for Histopathological Images,"Pengshuai Yang, Zhiwei Hong, Xiaoxu Yin, Chengzhan Zhu, Rui Jiang",47-57,/chapter/10.1007/978-3-030-87196-3_5,2021,2,category: classification,31,2006,2021,15
16,74,Contrastive Learning with Continuous Proxy Meta-data for 3D MRI Classification,"Benoit Dufumier, Pietro Gori, Julie Victor, Antoine Grigis, Michele Wessa, Paolo Brambilla et al.",58-68,/chapter/10.1007/978-3-030-87196-3_6,2021,2,category: classification,30,2001,2021,20
17,76,Self-supervised Longitudinal Neighbourhood Embedding,"Jiahong Ouyang, Qingyu Zhao, Ehsan Adeli, Edith V. Sullivan, Adolf Pfefferbaum, Greg Zaharchuk et al.",80-89,/chapter/10.1007/978-3-030-87196-3_8,2021,2,category: classification,24,2008,2020,12
18,77,Self-supervised Multi-modal Alignment for Whole Body Medical Imaging,"Rhydian Windsor, Amir Jamaludin, Timor Kadir, Andrew Zisserman",90-101,/chapter/10.1007/978-3-030-87196-3_9,2021,2,category: classification,35,1089,2021,932
19,78,SimTriplet: Simple Triplet Representation Learning with a Single GPU,"Quan Liu, Peter C. Louis, Yuzhe Lu, Aadarsh Jha, Mengyang Zhao, Ruining Deng et al.",102-112,/chapter/10.1007/978-3-030-87196-3_10,2021,2,category: classification,25,2010,2021,11
